 ,0,0,na,na,na
Indiana University - Purdue University - Fort Wayne,9952,5913,Indiana,Large City,public
Indiana University - Purdue University - Indianapolis,21615,17521,Indiana,Large City,na
Indiana University - South Bend,4877,3767,Indiana,Midsize City,na
Indiana University - Southeast,4824,3218,Indiana,Suburb,na
Indiana Wesleyan University,2803,2634,Indiana,Town,private
Institute of American Indian and Alaska Native Culture and Arts Development,612,264,New Mexico,Rural,na
Inter American University of Puerto Rico - Aguadilla,3973,3375,Puerto Rico,Suburb,na
Inter American University of Puerto Rico - Arecibo,3902,3376,Puerto Rico,Small City,private
Inter American University of Puerto Rico - Barranquitas,1789,1605,Puerto Rico,Suburb,na
Inter American University of Puerto Rico - Metro,6264,4997,Puerto Rico,Large City,na
Inter American University of Puerto Rico - Ponce,4786,4098,Puerto Rico,Suburb,na
Inter American University of Puerto Rico - San German,4116,3693,Puerto Rico,Small City,private
Iona College,3177,2949,New York,Suburb,private
Iowa State University,30573,28743,Iowa,Small City,public
Iowa Wesleyan University,625,550,Iowa,Town,private
Ithaca College,6062,5936,New York,Suburb,na
Jackson State University,6498,5935,Mississippi,Midsize City,na
Jacksonville State University,7492,5523,Alabama,Small City,na
Jacksonville University,2878,2180,Florida,Large City,na
James Madison University,19972,18905,Virginia,Small City,na
University of Jamestown,916,871,North Dakota,Town,na
Jarvis Christian College,908,835,Texas,Rural,na
John Brown University,1972,1489,Arkansas,Town,na
John Carroll University,3079,2987,Ohio,Suburb,private
Johns Hopkins University,6106,5668,Maryland,Large City,na
Johnson & Wales University - Providence,7717,7267,Rhode Island,Midsize City,private
Johnson C Smith University,1395,1329,North Carolina,Large City,na
Johnson State College,1377,882,Vermont,Rural,na
Judson College,313,230,Alabama,Rural,na
Judson University,1078,761,Illinois,Midsize City,private
Juniata College,1487,1400,Pennsylvania,Town,na
Kalamazoo College,1434,1427,Michigan,Small City,na
Kansas State University,18484,16770,Kansas,Small City,na
Kansas Wesleyan University,693,631,Kansas,Town,na
Kaplan University - Davenport Campus,25486,3127,Iowa,Midsize City,na
Kean University,11985,9516,New Jersey,Suburb,na
Keene State College,3778,3624,New Hampshire,Town,na
Kent State University at Kent,23179,19108,Ohio,Suburb,public
Kentucky Christian University,589,439,Kentucky,Town,na
Kentucky State University,1762,1122,Kentucky,Town,public
Kentucky Wesleyan College,716,673,Kentucky,Small City,private
Kenyon College,1678,1661,Ohio,Town,na
Kettering University,1891,1807,Michigan,Small City,na
Keuka College,1645,1312,New York,Town,private
Keystone College,1454,1065,Pennsylvania,Suburb,private
King University,1798,1608,Tennessee,Small City,na
King's College,2198,2025,Pennsylvania,Small City,na
Knox College,1354,1334,Illinois,Town,private
Kutztown University of Pennsylvania,7489,7053,Pennsylvania,Town,na
Kuyper College,182,146,Michigan,Suburb,na
La Roche College,1379,1163,Pennsylvania,Suburb,na
La Salle University,3822,3322,Pennsylvania,Large City,na
La Sierra University,2027,1830,California,Large City,private
Lafayette College,2590,2551,Pennsylvania,Suburb,na
LaGrange College,940,888,Georgia,Town,na
Lake Erie College,959,724,Ohio,Suburb,private
Lake Forest College,1505,1487,Illinois,Suburb,na
Lake Superior State University,1962,1706,Michigan,Town,public
Lakeland University,1997,779,Wisconsin,Rural,private
Lamar University,9270,5967,Texas,Midsize City,na
Lander University,2785,2600,South Carolina,Town,na
Lane College,1416,1370,Tennessee,Small City,na
Langston University,2028,1822,Oklahoma,Rural,na
Lasell College,1733,1669,Massachusetts,Small City,na
Lawrence Technological University,2191,1672,Michigan,Small City,na
Lawrence University,1471,1434,Wisconsin,Small City,private
Le Moyne College,2793,2410,New York,Suburb,na
Le Moyne - Owen College,867,770,Tennessee,Large City,private
Lebanon Valley College,1756,1624,Pennsylvania,Suburb,private
Lee University,4856,3854,Tennessee,Small City,na
Lees - McRae College,920,891,North Carolina,Rural,na
Lehigh University,5065,5013,Pennsylvania,Small City,na
Lenoir - Rhyne University,1698,1441,North Carolina,Small City,private
Lesley University,2097,1645,Massachusetts,Midsize City,private
LeTourneau University,2606,1301,Texas,Small City,na
Lewis & Clark College,2113,2067,Oregon,Large City,na
Lewis - Clark State College,3746,2215,Idaho,Small City,na
Lewis University,4502,3687,Illinois,Suburb,private
Liberty University,45756,26892,Virginia,Small City,na
Life University,760,624,Georgia,Small City,na
Limestone College,2599,1943,South Carolina,Town,private
Lincoln Memorial University,1923,1355,Tennessee,Town,na
Lincoln University California,107,72,California,Large City,private
Lincoln University Missouri,2513,1804,Missouri,Small City,na
Lincoln University of Pennsylvania,2002,1826,Pennsylvania,Suburb,na
Lindenwood University,6931,6215,Missouri,Small City,private
Lindsey Wilson College,2071,1919,Kentucky,Town,na
Linfield College - McMinnville Campus,1536,1505,Oregon,Town,na
Lipscomb University,2994,2723,Tennessee,Large City,na
Livingstone College,1153,1140,North Carolina,Suburb,private
Lock Haven University,3471,3176,Pennsylvania,Town,public
LIU Brooklyn,3947,3396,New York,Large City,na
LIU Post,6317,2845,New York,Suburb,private
Longwood University,4469,3959,Virginia,Town,na
Loras College,1395,1335,Iowa,Small City,na
Louisiana College,985,866,Louisiana,Suburb,na
Louisiana State University - Alexandria,3372,1844,Louisiana,Rural,public
Louisiana State University and Agricultural & Mechanical College,25448,22060,Louisiana,Midsize City,na
Louisiana State University - Shreveport,2641,1641,Louisiana,Midsize City,public
Louisiana Tech University,11323,8090,Louisiana,Town,na
Lourdes University,1046,827,Ohio,Suburb,na
Loyola Marymount University,6395,6164,California,Large City,na
Loyola University Maryland,3927,3886,Maryland,Large City,private
Loyola University Chicago,11426,10681,Illinois,Large City,private
Loyola University New Orleans,2607,2446,Louisiana,Large City,private
Lubbock Christian University,1482,1276,Texas,Large City,na
Luther College,2046,2014,Iowa,Town,na
Lycoming College,1222,1199,Pennsylvania,Small City,private
University of Lynchburg,2051,1928,Virginia,Small City,private
Lyndon State College,1069,871,Vermont,Town,na
Lynn University,2205,1826,Florida,Small City,na
Lyon College,670,652,Arkansas,Town,na
Macalester College,2138,2093,Minnesota,Large City,na
Madonna University,2455,1358,Michigan,Small City,na
Maharishi University of Management,325,261,Iowa,Town,na
Maine Maritime Academy,1021,989,Maine,Rural,na
Malone University,1334,1099,Ohio,Small City,na
Manchester University,1264,1244,Indiana,Town,na
Manhattan College,3666,3479,New York,Large City,na
Manhattanville College,1731,1633,New York,Suburb,na
Mansfield University of Pennsylvania,1827,1655,Pennsylvania,Town,na
Maranatha Baptist University,933,591,Wisconsin,Town,na
Marian University Indiana,2301,1961,Indiana,Large City,na
Marian University Wisconsin,1508,1254,Wisconsin,Small City,na
Marietta College,1063,960,Ohio,Town,na
Marist College,5697,5085,New York,Suburb,private
Marquette University,8334,8026,Wisconsin,Large City,na
Mars Hill University,1265,1199,North Carolina,Suburb,private
Marshall University,9492,7846,West Virginia,Small City,na
Martin Luther College,896,743,Minnesota,Town,private
Martin Methodist College,979,810,Tennessee,Town,na
Martin University,263,159,Indiana,Large City,na
Mary Baldwin University,1133,720,Virginia,Small City,private
Marymount Manhattan College,2149,1915,New York,Large City,private
Marymount University,2306,2069,Virginia,Midsize City,na
Maryville College,1184,1158,Tennessee,Suburb,na
Maryville University of Saint Louis,3184,2375,Missouri,Suburb,private
Marywood University,1957,1756,Pennsylvania,Small City,na
Massachusetts College of Liberal Arts,1407,1201,Massachusetts,Town,public
Massachusetts Institute of Technology,4551,4510,Massachusetts,Midsize City,private
Massachusetts Maritime Academy,1687,1607,Massachusetts,Suburb,na
Mayville State University,1097,600,North Dakota,Rural,na
McDaniel College,1588,1543,Maryland,Suburb,private
McKendree University,2103,1692,Illinois,Suburb,na
McMurry University,1106,956,Texas,Midsize City,private
McNeese State University,6924,5567,Louisiana,Small City,na
McPherson College,723,673,Kansas,Town,private
Medaille College,1526,1426,New York,Large City,na
Menlo College,746,728,California,Suburb,private
Mercer University,4746,4135,Georgia,Midsize City,na
Mercy College,6862,5055,New York,Suburb,private
Mercyhurst University,2452,2373,Pennsylvania,Small City,na
Meredith College,1682,1600,North Carolina,Large City,na
Merrimack College,3535,3323,Massachusetts,Suburb,na
Colorado Mesa University,9461,7145,Colorado,Small City,public
Messiah College,2760,2637,Pennsylvania,Suburb,private
Methodist University,1938,1755,North Carolina,Midsize City,na
Metropolitan College of New York,777,681,New York,Large City,na
Metropolitan State University of Denver,19668,12759,Colorado,Large City,public
Metropolitan State University,7317,2878,Minnesota,Large City,na
Miami University - Oxford,17153,16619,Ohio,Town,na
Michigan State University,38997,35404,Michigan,Small City,na
Michigan Technological University,5886,5492,Michigan,Town,na
Mid - America Christian University,1622,1170,Oklahoma,Large City,private
Mid - Atlantic Christian University,192,166,North Carolina,Town,private
MidAmerica Nazarene University,1311,998,Kansas,Suburb,na
Middle Tennessee State University,19520,15812,Tennessee,Midsize City,public
Middlebury College,2547,2528,Vermont,Town,na
Midland University,1660,1187,Nebraska,Town,na
Midway University,1003,760,Kentucky,Rural,private
Midwestern State University,5328,4199,Texas,Midsize City,public
Miles College,1654,1555,Alabama,Suburb,private
Millersville University of Pennsylvania,6756,5671,Pennsylvania,Suburb,na
Millikin University,1951,1840,Illinois,Small City,private
Mills College,764,739,California,Large City,private
Millsaps College,808,797,Mississippi,Midsize City,na
Milwaukee School of Engineering,2607,2508,Wisconsin,Large City,private
Minnesota State University - Mankato,12781,10832,Minnesota,Small City,na
Minnesota State University - Moorhead,5126,4157,Minnesota,Suburb,na
Minot State University,2959,1952,North Dakota,Town,public
Misericordia University,2148,1660,Pennsylvania,Suburb,private
Mississippi College,3246,2793,Mississippi,Suburb,private
Mississippi State University,18312,16803,Mississippi,Town,public
Mississippi University for Women,2577,2113,Mississippi,Town,na
Mississippi Valley State University,1974,1667,Mississippi,Town,public
Missouri Baptist University,4507,1519,Missouri,Suburb,na
Missouri Southern State University,6025,4358,Missouri,Small City,na
Missouri State University - Springfield,20365,15363,Missouri,Midsize City,na
Missouri Valley College,1793,1296,Missouri,Town,na
Missouri Western State University,5290,3498,Missouri,Small City,na
Mitchell College,706,575,Connecticut,Small City,na
Molloy College,3534,2800,New York,Suburb,private
Monmouth College,1035,1016,Illinois,Town,na
Monmouth University,4708,4502,New Jersey,Suburb,na
Montana State University,14652,12403,Montana,Town,na
Montana State University - Billings,4022,2400,Montana,Midsize City,public
Montana State University - Northern,1164,855,Montana,Town,na
Montana Tech of the University of Montana,1657,1529,Montana,Town,na
Montclair State University,16852,14944,New Jersey,Suburb,na
Montreat College,757,543,North Carolina,Suburb,na
Moravian College,2083,1886,Pennsylvania,Small City,private
Morehead State University,9660,5835,Kentucky,Town,na
Morehouse College,2202,2090,Georgia,Large City,private
Morgan State University,6436,5825,Maryland,Large City,public
Morningside College,1322,1252,Iowa,Small City,na
Morris College,745,731,South Carolina,Small City,private
Mount Aloysius College,1689,999,Pennsylvania,Town,na
Mount Holyoke College,2213,2161,Massachusetts,Suburb,na
Mount Marty College,875,457,South Dakota,Town,private
Mount Mary University,700,624,Wisconsin,Large City,private
Mount Mercy University,1517,1083,Iowa,Midsize City,na
University of Mount Olive,3206,1472,North Carolina,Town,private
Mount Saint Mary College,2036,1737,New York,Suburb,private
Mount Saint Mary's University,2603,2056,California,Large City,na
Mount St Mary's University,1815,1696,Maryland,Town,private
Mount Vernon Nazarene University,1829,1440,Ohio,Town,na
Muhlenberg College,2369,2279,Pennsylvania,Midsize City,na
Murray State University,8559,6584,Kentucky,Town,na
Muskingum University,1559,1363,Ohio,Town,na
Naropa University,391,368,Colorado,Midsize City,na
National Louis University,1883,1250,Illinois,Large City,na
National University,7881,2899,California,Large City,private
Nazareth College,2195,2099,New York,Suburb,na
Nebraska Wesleyan University,1776,1566,Nebraska,Large City,na
Neumann University,2085,1462,Pennsylvania,Suburb,private
Nevada State College,4217,1708,Nevada,Rural,public
New College of Florida,836,835,Florida,Small City,na
New England College,1841,1811,New Hampshire,Rural,na
New Jersey City University,6508,5210,New Jersey,Large City,na
New Jersey Institute of Technology,8479,6380,New Jersey,Large City,public
New Mexico Highlands University,1933,1315,New Mexico,Town,public
New Mexico Institute of Mining and Technology,1471,1294,New Mexico,Town,na
New Mexico State University - Main Campus,11711,9703,New Mexico,Suburb,public
New York Institute of Technology,3663,3234,New York,Suburb,na
New York University,26418,25347,New York,Large City,na
Newberry College,1177,1158,South Carolina,Town,private
Newman University,2811,1013,Kansas,Large City,private
Niagara University,2998,2827,New York,Suburb,private
Nicholls State University,5684,4662,Louisiana,Small City,public
Nichols College,1339,1232,Massachusetts,Suburb,private
Norfolk State University,4684,4011,Virginia,Midsize City,na
North Carolina A & T State University,10339,9347,North Carolina,Large City,na
North Carolina Central University,6355,5363,North Carolina,Large City,na
North Carolina State University,24149,21384,North Carolina,Large City,na
North Carolina Wesleyan College,2090,1754,North Carolina,Small City,na
North Central College,2772,2634,Illinois,Midsize City,na
North Central University,1081,912,Minnesota,Large City,na
North Dakota State University - Main Campus,11981,10782,North Dakota,Midsize City,na
North Greenville University,2359,2080,South Carolina,Rural,na
North Park University,2033,1812,Illinois,Large City,na
Northcentral University,90,14,California,Large City,na
Northeastern Illinois University,7113,4164,Illinois,Large City,na
Northeastern State University,6830,4753,Oklahoma,Town,na
Northeastern University,13824,13786,Massachusetts,Large City,private
Northern Arizona University,27092,21990,Arizona,Small City,na
Northern Illinois University,13456,11788,Illinois,Suburb,public
Northern Kentucky University,12326,8962,Kentucky,Suburb,public
Northern Michigan University,7018,6207,Michigan,Town,na
Northern State University,3164,1346,South Dakota,Town,na
Northland College,631,594,Wisconsin,Town,private
Northwest Christian University,604,444,Oregon,Midsize City,na
Northwest Missouri State University,5478,4806,Missouri,Town,na
Northwest Nazarene University,1482,1125,Idaho,Suburb,na
Northwest University,946,929,Washington,Suburb,na
Northwestern College - 2,1039,997,Iowa,Town,private
University of Northwestern - St Paul,3325,2033,Minnesota,Suburb,na
Northwestern Oklahoma State University,1881,1329,Oklahoma,Town,na
Northwestern State University of Louisiana,9440,5471,Louisiana,Town,public
Northwestern University,8699,8205,Illinois,Small City,na
Norwich University,3229,2542,Vermont,Town,private
Notre Dame College,1736,1216,Ohio,Suburb,na
Notre Dame de Namur University,922,718,California,Suburb,private
Nova Southeastern University,4501,3154,Florida,Suburb,na
Nyack College,1397,1131,New York,Suburb,na
Oakland City University,1112,572,Indiana,Town,na
Oakland University,15902,12549,Michigan,Suburb,na
Oakwood University,1648,1521,Alabama,Midsize City,private
Oberlin College,2828,2790,Ohio,Town,na
Occidental College,1976,1952,California,Large City,private
Oglethorpe University,1253,1166,Georgia,Suburb,na
Ohio Christian University,3988,2429,Ohio,Town,na
Ohio Dominican University,1176,957,Ohio,Large City,na
Ohio Northern University,2315,2092,Ohio,Town,private
Ohio State University - Lima Campus,1007,844,Ohio,Rural,public
Ohio State University - Main Campus,45943,42003,Ohio,Large City,na
Ohio State University - Newark Campus,2605,2218,Ohio,Suburb,na
Ohio University - Main Campus,23167,17695,Ohio,Town,public
Ohio Valley University,528,435,West Virginia,Small City,na
Ohio Wesleyan University,1557,1545,Ohio,Suburb,private
Oklahoma Baptist University,1962,1835,Oklahoma,Town,na
Oklahoma Christian University,1976,1846,Oklahoma,Large City,na
Oklahoma City University,1715,1579,Oklahoma,Large City,na
Oklahoma Panhandle State University,1136,852,Oklahoma,Rural,public
Oklahoma State University - Main Campus,20992,18221,Oklahoma,Town,na
Oklahoma Wesleyan University,1005,609,Oklahoma,Town,na
Old Dominion University,19543,15036,Virginia,Midsize City,public
Olivet College,1178,1032,Michigan,Rural,private
Olivet Nazarene University,3377,3113,Illinois,Suburb,na
Oral Roberts University,3384,2866,Oklahoma,Large City,private
Oregon Institute of Technology,5380,2284,Oregon,Town,na
Oregon State University,25835,18829,Oregon,Small City,na
Ottawa University - Online,156,85,Kansas,Town,na
Ottawa University - Ottawa,669,646,Kansas,Town,na
Otterbein University,2483,2294,Ohio,Suburb,private
Ouachita Baptist University,1542,1500,Arkansas,Town,private
University of Holy Cross,912,457,Louisiana,Large City,private
Our Lady of the Lake University,1344,1221,Texas,Large City,na
Pace University - New York,8670,7878,New York,Large City,na
Pacific Lutheran University,2764,2655,Washington,Suburb,na
Pacific Union College,1227,1077,California,Rural,na
Pacific University,1876,1818,Oregon,Suburb,na
Paine College,425,328,Georgia,Midsize City,na
Palm Beach Atlantic University,3005,2350,Florida,Midsize City,na
Park University,9864,4134,Missouri,Suburb,na
Paul Quinn College,518,492,Texas,Large City,private
Paul Smiths College of Arts and Science,768,760,New York,Rural,private
William Peace University,932,814,North Carolina,Large City,na
Peirce College,1388,307,Pennsylvania,Large City,na
Pennsylvania State University - Brandywine,1439,1245,Pennsylvania,Suburb,na
Pennsylvania State University - University Park,40833,39785,Pennsylvania,Small City,na
Pennsylvania State University - Abington,3891,3312,Pennsylvania,Suburb,na
Pennsylvania State University - Altoona,3478,3374,Pennsylvania,Small City,na
Pennsylvania State University - Beaver,652,563,Pennsylvania,Suburb,na
Pennsylvania State University - Berks,2718,2411,Pennsylvania,Suburb,public
Pennsylvania State University - Erie - Behrend College,4341,4138,Pennsylvania,Suburb,na
Pennsylvania State University - Greater Allegheny,497,453,Pennsylvania,Suburb,public
Pennsylvania State University - Harrisburg,4288,3960,Pennsylvania,Suburb,public
Pennsylvania State University - Lehigh Valley,899,739,Pennsylvania,Suburb,public
Pennsylvania State University - New Kensington,597,484,Pennsylvania,Rural,na
Pennsylvania State University - Schuylkill,733,595,Pennsylvania,Town,na
Pennsylvania State University - Shenango,490,241,Pennsylvania,Suburb,na
Pennsylvania State University - Wilkes - Barre,456,387,Pennsylvania,Rural,na
Pennsylvania State University - Worthington Scranton,1030,904,Pennsylvania,Suburb,public
Pennsylvania State University - York,966,793,Pennsylvania,Suburb,na
Pepperdine University,3603,3300,California,Suburb,na
Peru State College,2046,1105,Nebraska,Rural,public
Pfeiffer University,812,733,North Carolina,Rural,na
Cairn University,770,727,Pennsylvania,Suburb,private
Thomas Jefferson University,2690,2279,Pennsylvania,Large City,private
Philander Smith College,893,845,Arkansas,Midsize City,private
Piedmont College,1281,1160,Georgia,Town,na
University of Pikeville,1562,1049,Kentucky,Town,na
Pine Manor College,419,417,Massachusetts,Suburb,na
Pittsburg State University,5709,5109,Kansas,Town,na
Pitzer College,1070,1046,California,Suburb,na
Platt College - Aurora,236,236,Colorado,Large City,private
Plymouth State University,4148,3971,New Hampshire,Town,na
Point Loma Nazarene University,3097,2571,California,Large City,private
Point Park University,3282,2758,Pennsylvania,Large City,private
Pomona College,1600,1578,California,Suburb,private
Portland State University,21163,13990,Oregon,Large City,na
Post University,7845,2617,Connecticut,Suburb,private
University of the Potomac - VA Campus,37,37,Virginia,Suburb,na
Prairie View A & M University,7977,7341,Texas,Town,na
Pratt Institute - Main,3642,3537,New York,Large City,na
Presbyterian College,1014,975,South Carolina,Town,na
Prescott College,386,291,Arizona,Small City,na
Presentation College,762,475,South Dakota,Town,private
Princeton University,5397,5260,New Jersey,Suburb,private
Principia College,456,441,Illinois,Rural,private
Providence Christian College,165,161,California,Midsize City,private
Providence College,4076,3826,Rhode Island,Midsize City,private
Purdue University - Main Campus,32130,30277,Indiana,Small City,na
Queens University of Charlotte,1717,1449,North Carolina,Large City,private
Quincy University,992,874,Illinois,Town,na
Quinnipiac University,7311,6959,Connecticut,Suburb,private
Radford University,8419,8049,Virginia,Small City,na
Ramapo College of New Jersey,5616,4910,New Jersey,Suburb,na
Randolph College,666,645,Virginia,Small City,na
Randolph - Macon College,1452,1428,Virginia,Suburb,private
Reed College,1446,1408,Oregon,Large City,na
Regent University,4280,2263,Virginia,Large City,na
Regis University,4084,2378,Colorado,Large City,na
Reinhardt University,1408,1260,Georgia,Rural,na
Rensselaer Polytechnic Institute,6366,6340,New York,Small City,na
Rhode Island College,7079,5461,Rhode Island,Suburb,public
Rhodes College,1984,1979,Tennessee,Large City,na
Rice University,4004,3916,Texas,Large City,na
Rider University,4092,3711,New Jersey,Suburb,private
Ripon College,759,739,Wisconsin,Town,na
Rivier University,1427,908,New Hampshire,Small City,private
Roanoke College,2036,1973,Virginia,Suburb,na
Robert Morris University,4245,3840,Pennsylvania,Suburb,na
Roberts Wesleyan College,1322,1248,New York,Suburb,na
Rochester College,1152,762,Michigan,Suburb,na
Rochester Institute of Technology,13510,12447,New York,Suburb,private
Rockford University,1059,918,Illinois,Midsize City,na
Rockhurst University,2208,1445,Missouri,Large City,na
Rocky Mountain College,898,868,Montana,Midsize City,private
Roger Williams University,4704,4042,Rhode Island,Suburb,private
Rollins College,2614,2453,Florida,Suburb,private
Roosevelt University,2576,2117,Illinois,Large City,na
Rosemont College,634,520,Pennsylvania,Suburb,na
Rowan University,15399,13634,New Jersey,Suburb,na
Rust College,862,792,Mississippi,Town,na
Rutgers University - Camden,5489,4493,New Jersey,Small City,na
Rutgers University - New Brunswick,35638,33677,New Jersey,Small City,na
Rutgers University - Newark,8549,7162,New Jersey,Large City,na
Sacred Heart University,5605,4982,Connecticut,Suburb,na
Saginaw Valley State University,7850,6559,Michigan,Suburb,public
Saint Ambrose University,2369,2215,Iowa,Midsize City,private
Saint Anselm College,1965,1926,New Hampshire,Suburb,na
Saint Augustine's University,972,961,North Carolina,Large City,private
St. Bonaventure University,1621,1586,New York,Town,na
Saint Cloud State University,13133,8373,Minnesota,Small City,na
Saint Edward's University,3941,3528,Texas,Large City,na
Saint Francis University,2119,1526,Pennsylvania,Town,private
St. John Fisher College,2746,2624,New York,Suburb,na
Saint Johns University,1724,1703,Minnesota,Rural,na
University of Saint Joseph,808,654,Connecticut,Small City,na
St. Joseph's College - New York,928,798,New York,Large City,na
Saint Joseph's College of Maine,1537,960,Maine,Rural,private
Saint Joseph's University,5143,4481,Pennsylvania,Large City,na
Saint Leo University,9672,6732,Florida,Suburb,private
Saint Louis University,9900,6625,Missouri,Large City,na
Saint Martin's University,1318,1121,Washington,Suburb,na
Saint Mary - of - the - Woods College,662,491,Indiana,Rural,private
Saint Mary's College,1533,1486,Indiana,Suburb,na
Saint Mary's College of California,2776,2614,California,Suburb,na
Saint Mary's University of Minnesota,1501,1129,Minnesota,Town,na
Saint Michael's College,1790,1766,Vermont,Suburb,private
Saint Norbert College,2068,2021,Wisconsin,Suburb,private
Saint Peter's University,2633,2387,New Jersey,Large City,na
St. Thomas Aquinas College,1777,1091,New York,Suburb,na
St. Thomas University,2907,935,Florida,Suburb,na
Saint Vincent College,1667,1617,Pennsylvania,Suburb,na
Saint Xavier University,2942,2638,Illinois,Large City,na
Salem College,817,673,North Carolina,Midsize City,private
Salem International University,892,892,West Virginia,Rural,private
Salem State University,7110,5792,Massachusetts,Suburb,na
Salisbury University,7783,7191,Maryland,Suburb,public
Salve Regina University,2180,2087,Rhode Island,Suburb,na
Sam Houston State University,18416,14808,Texas,Town,public
Samford University,3375,3266,Alabama,Suburb,private
San Diego Christian College,656,504,California,Suburb,private
San Diego State University,30267,27060,California,Large City,na
San Francisco State University,26676,22263,California,Large City,public
San Jose State University,27777,23097,California,Large City,na
Santa Clara University,5498,5411,California,Midsize City,private
Sarah Lawrence College,1401,1384,New York,Suburb,na
Savannah State University,4237,3687,Georgia,Midsize City,na
Schreiner University,1249,1137,Texas,Town,na
Scripps College,1064,1060,California,Suburb,na
Seattle Pacific University,2898,2783,Washington,Large City,private
Seattle University,4563,4325,Washington,Large City,private
Seton Hall University,5972,5554,New Jersey,Suburb,na
Seton Hill University,2091,1551,Pennsylvania,Suburb,na
Sewanee - The University of the South,1700,1687,Tennessee,Rural,na
Shaw University,1545,1466,North Carolina,Large City,private
Shawnee State University,3408,2832,Ohio,Town,public
Shenandoah University,2060,1991,Virginia,Small City,na
Shepherd University,3419,2614,West Virginia,Town,na
Shippensburg University of Pennsylvania,5573,5160,Pennsylvania,Town,na
Shorter University,1402,1140,Georgia,Small City,na
Shorter University - College of Adult & Professional Programs,113,56,Georgia,Small City,na
Siena College,3161,3039,New York,Suburb,na
Siena Heights University,2301,1290,Michigan,Town,na
Sierra Nevada College,452,410,Nevada,Town,private
Silver Lake College of the Holy Family,393,267,Wisconsin,Town,na
Simmons College,1743,1553,Massachusetts,Large City,na
Simpson College,1433,1280,Iowa,Town,na
Simpson University,779,619,California,Small City,na
Skidmore College,2682,2636,New York,Suburb,private
Slippery Rock University of Pennsylvania,7613,7125,Pennsylvania,Town,na
Smith College,2526,2505,Massachusetts,Suburb,private
Soka University of America,409,412,California,Suburb,na
Sonoma State University,8670,7887,California,Suburb,na
South Carolina State University,2523,2281,South Carolina,Town,na
South College,1410,1410,Tennessee,Midsize City,na
South Dakota State University,10886,8425,South Dakota,Town,na
South University - Columbia,806,556,South Carolina,Suburb,na
South University - Savannah,499,396,Georgia,Midsize City,na
South University - Tampa,543,424,Florida,Large City,private
South University - West Palm Beach,699,535,Florida,Suburb,na
Southeast Missouri State University,10462,7779,Missouri,Small City,na
Southeastern Louisiana University,13317,8998,Louisiana,Small City,na
Southeastern Oklahoma State University,3122,2374,Oklahoma,Town,na
Southeastern University,6241,4288,Florida,Midsize City,private
Southern Adventist University,2596,2173,Tennessee,Suburb,na
Southern Arkansas University Main Campus,3478,2924,Arkansas,Town,public
Southern Connecticut State University,7944,6814,Connecticut,Midsize City,na
Southern Illinois University Carbondale,10990,9455,Illinois,Small City,na
Southern Illinois University Edwardsville,11408,9550,Illinois,Suburb,na
Southern Methodist University,6454,6240,Texas,Suburb,na
Southern Nazarene University,1517,1483,Oklahoma,Suburb,na
Southern New Hampshire University,70662,19935,New Hampshire,Suburb,na
