 ,0,0,na,na,na
Southern Oregon University,5522,3640,Oregon,Suburb,public
Southern University and A & M College,5152,4530,Louisiana,Midsize City,na
Southern University at New Orleans,2108,1520,Louisiana,Large City,na
Southern Utah University,8549,6279,Utah,Town,public
Southern Virginia University,908,853,Virginia,Town,na
Southern Wesleyan University,1360,820,South Carolina,Suburb,na
Southwest Baptist University,2827,1835,Missouri,Town,private
Southwest Minnesota State University,6711,1932,Minnesota,Town,public
Southwestern Adventist University,802,652,Texas,Town,private
Southwestern Assemblies of God University,1788,1492,Texas,Suburb,private
Southwestern Christian University,620,539,Oklahoma,Suburb,na
Southwestern College - Winfield,1148,577,Kansas,Town,na
Southwestern Oklahoma State University,4626,3713,Oklahoma,Town,public
Southwestern University,1398,1367,Texas,Suburb,na
Spalding University,1250,916,Kentucky,Large City,na
Spelman College,2139,2086,Georgia,Large City,na
Spring Arbor University,1958,1380,Michigan,Suburb,na
Spring Hill College,1376,1363,Alabama,Midsize City,na
Springfield College,2230,2188,Massachusetts,Midsize City,private
St. Andrews University,641,567,North Carolina,Town,na
St Catherine University,3157,2124,Minnesota,Large City,private
St. Francis College,2286,2097,New York,Large City,na
St John's College MD,466,458,Maryland,Suburb,na
St. John's College,319,309,New Mexico,Rural,na
St John's University - New York,16760,11526,New York,Large City,na
St Lawrence University,2411,2372,New York,Town,private
St Mary's College of Maryland,1574,1516,Maryland,Suburb,na
St. Mary's University,2323,2228,Texas,Large City,na
St Olaf College,3039,3003,Minnesota,Town,na
Stanford University,7064,7064,California,Suburb,na
SUNY New Paltz,6733,6235,New York,Suburb,na
Stephen F Austin State University,10988,9567,Texas,Town,na
Stephens College,654,542,Missouri,Midsize City,na
Sterling College Kansas,698,599,Kansas,Rural,private
Sterling College Vermont,155,120,Vermont,Rural,private
Stetson University,3068,3028,Florida,Suburb,private
Stevens Institute of Technology,3125,3113,New Jersey,Suburb,na
Stevenson University,3401,2926,Maryland,Rural,na
Stillman College,675,552,Alabama,Midsize City,na
Stonehill College,2494,2482,Massachusetts,Suburb,private
Stony Brook University,17369,16212,New York,Suburb,na
Stratford University,1979,471,Virginia,Suburb,na
Strayer University - District of Columbia,691,107,District of Columbia,Large City,na
Suffolk University,5028,4762,Massachusetts,Large City,private
Sul Ross State University,2292,1378,Texas,Town,na
Sullivan University,2596,1321,Kentucky,Large City,na
Summit Christian College,32,17,Nebraska,Town,na
University at Albany,13510,12740,New York,Small City,public
Binghamton University,13739,13345,New York,Suburb,public
SUNY Fredonia,4393,4281,New York,Town,na
SUNY Geneseo,5558,5452,New York,Town,na
Purchase College,4062,3712,New York,Suburb,public
The College at Brockport,7182,6419,New York,Town,na
Buffalo State,8527,7665,New York,Large City,na
SUNY Cortland,6345,6196,New York,Town,public
SUNY Old Westbury,4634,4056,New York,Suburb,public
SUNY Oneonta,5940,5828,New York,Town,na
SUNY Oswego,7123,6836,New York,Town,na
SUNY Plattsburgh,5353,4894,New York,Town,public
SUNY Potsdam,3323,3196,New York,Town,public
SUNY College of Environmental Science and Forestry,1791,1737,New York,Midsize City,na
SUNY Empire State College,9810,3772,New York,Suburb,na
SUNY Polytechnic Institute,2179,1859,New York,Suburb,na
SUNY Maritime College,1640,1581,New York,Large City,public
Susquehanna University,2354,2283,Pennsylvania,Town,na
Swarthmore College,1581,1573,Pennsylvania,Suburb,na
Sweet Briar College,320,314,Virginia,Suburb,na
Syracuse University,15248,14675,New York,Midsize City,na
Tabor College,712,554,Kansas,Town,private
Talladega College,782,762,Alabama,Town,na
Tarleton State University,11290,8429,Texas,Town,na
Taylor University,2111,1840,Indiana,Town,na
Temple University,29583,26643,Pennsylvania,Large City,na
Tennessee State University,6504,5431,Tennessee,Large City,na
Tennessee Technological University,9365,8259,Tennessee,Town,na
Tennessee Wesleyan University,931,863,Tennessee,Town,na
Texas A&M International University,6800,5191,Texas,Large City,public
Texas A&M University - College Station,53069,46724,Texas,Midsize City,public
Texas A&M University - Commerce,8490,6068,Texas,Town,na
Texas A&M University - Corpus Christi,10174,8355,Texas,Large City,na
Texas A&M University - Kingsville,6782,5020,Texas,Town,na
Texas A&M University - Texarkana,1611,1166,Texas,Rural,na
Texas Christian University,9009,8738,Texas,Large City,na
Texas College,993,940,Texas,Midsize City,na
Texas Lutheran University,1359,1305,Texas,Town,private
Texas Southern University,7971,6695,Texas,Large City,na
Texas State University,34177,28019,Texas,Suburb,na
Texas Tech University,30737,27318,Texas,Large City,public
Texas Wesleyan University,1675,1497,Texas,Large City,na
Texas Woman's University,10311,6968,Texas,Midsize City,na
The College of Idaho,938,896,Idaho,Suburb,na
The College of New Jersey,6956,6728,New Jersey,Suburb,na
The College of Saint Rose,2504,2426,New York,Small City,na
The College of Saint Scholastica,2678,2179,Minnesota,Small City,na
The College of Wooster,1979,1962,Ohio,Town,na
The Evergreen State College,3615,3330,Washington,Suburb,na
The King's College,555,542,New York,Large City,na
The Master's College and Seminary,1353,975,California,Suburb,na
The New School,7124,6224,New York,Large City,private
Stockton University,8276,7809,New Jersey,Suburb,na
The University of Alabama,33303,29923,Alabama,Midsize City,na
The University of Findlay,3563,2499,Ohio,Town,private
The University of Montana,9322,7444,Montana,Small City,na
The University of Montana - Western,1540,1230,Montana,Town,public
The University of Tampa,7970,7728,Florida,Large City,na
The University of Tennessee - Knoxville,22315,20965,Tennessee,Midsize City,na
The University of Tennessee - Chattanooga,10172,8962,Tennessee,Midsize City,na
The University of Tennessee - Martin,6327,4950,Tennessee,Town,na
The University of Texas at Arlington,33305,17819,Texas,Large City,public
The University of Texas at Austin,40489,37740,Texas,Large City,na
The University of Texas at Dallas,18474,15294,Texas,Midsize City,na
The University of Texas at El Paso,21335,14025,Texas,Large City,na
The University of Texas at San Antonio,26437,21510,Texas,Large City,na
The University of Texas at Tyler,7440,4842,Texas,Midsize City,na
The University of Texas of the Permian Basin,6066,2192,Texas,Midsize City,public
The University of Texas Rio Grande Valley,24216,18647,Texas,Small City,public
The University of Virginia's College at Wise,2093,1210,Virginia,Town,na
The University of West Florida,10000,6906,Florida,Small City,public
Thiel College,764,751,Pennsylvania,Town,na
Thomas Aquinas College,364,369,California,Rural,private
Thomas College,1660,774,Maine,Rural,na
Thomas More College,1878,1356,Kentucky,Suburb,na
Thomas More College of Liberal Arts,90,90,New Hampshire,Suburb,private
Thomas University,1118,438,Georgia,Town,na
Tiffin University,2243,1772,Ohio,Town,private
Toccoa Falls College,1420,872,Georgia,Town,na
Tougaloo College,794,766,Mississippi,Midsize City,private
Touro College,6428,4232,New York,Large City,na
Towson University,19592,17106,Maryland,Small City,na
Transylvania University,962,963,Kentucky,Large City,private
Trevecca Nazarene University,2216,1317,Tennessee,Large City,na
Trident University International,4368,1862,California,Suburb,private
Trine University,4099,1938,Indiana,Town,na
Trine University - Regional/Non - Traditional Campuses,368,210,Indiana,Large City,na
Trinity Christian College,1109,907,Illinois,Suburb,private
Trinity College,2218,2117,Connecticut,Midsize City,na
Trinity International University - Florida,156,64,Florida,Suburb,na
Trinity International University - Illinois,936,592,Illinois,Suburb,na
Trinity University,2389,2353,Texas,Large City,na
Trinity Washington University,1530,1075,District of Columbia,Large City,na
Troy University,14006,9491,Alabama,Town,public
Truett McConnell University,2574,780,Georgia,Town,na
Truman State University,5895,5134,Missouri,Town,na
Tufts University,5543,5483,Massachusetts,Suburb,na
Tulane University of Louisiana,7872,6716,Louisiana,Large City,private
Tusculum College,1485,1376,Tennessee,Town,na
Tuskegee University,2830,2722,Alabama,Town,na
Union College Kentucky,1096,918,Kentucky,Town,private
Union College Nebraska,779,707,Nebraska,Large City,private
Union College New York,2265,2176,New York,Small City,na
Union Institute & University,814,434,Ohio,Large City,na
Union University,2179,1599,Tennessee,Small City,na
United States Air Force Academy,4279,4276,Colorado,Town,na
United States Coast Guard Academy,1047,1044,Connecticut,Small City,na
United States Merchant Marine Academy,952,954,New York,Suburb,public
United States Military Academy,4487,4491,New York,Town,public
United States Naval Academy,4495,4495,Maryland,Suburb,na
Unity College,706,694,Maine,Rural,private
Universidad Adventista de las Antillas,1174,1071,Puerto Rico,Suburb,private
Polytechnic University of Puerto Rico - Orlando,124,53,Florida,Suburb,na
University at Buffalo,21016,19401,New York,Suburb,na
University of Advancing Technology,775,508,Arizona,Midsize City,na
University of Akron Main Campus,16874,13563,Ohio,Midsize City,public
University of Alabama at Birmingham,13130,9677,Alabama,Midsize City,na
University of Alabama in Huntsville,7089,5903,Alabama,Midsize City,na
University of Alaska Anchorage,14954,6974,Alaska,Large City,na
University of Alaska Fairbanks,6633,3022,Alaska,Suburb,public
University of Alaska Southeast,2060,629,Alaska,Town,na
University of Arizona,34099,29325,Arizona,Large City,na
University of Arkansas,23037,20464,Arkansas,Small City,na
University of Arkansas at Little Rock,8794,4603,Arkansas,Midsize City,na
University of Arkansas at Pine Bluff,2517,2341,Arkansas,Small City,public
University of Baltimore,2950,1716,Maryland,Large City,na
University of Bridgeport,3124,2300,Connecticut,Midsize City,private
University of California - Berkeley,30577,29351,California,Midsize City,public
University of California - Davis,30067,29284,California,Suburb,na
University of California - Irvine,29310,28855,California,Large City,public
University of California - Los Angeles,31001,30458,California,Large City,na
University of California - Riverside,20077,19719,California,Large City,public
University of California - San Diego,28582,27880,California,Large City,na
University of California - Santa Barbara,22182,21777,California,Suburb,na
University of California - Santa Cruz,17573,17082,California,Small City,na
University of Central Arkansas,9549,8070,Arkansas,Small City,na
University of Central Florida,56854,39962,Florida,Suburb,na
University of Central Missouri,9800,7701,Missouri,Town,na
University of Central Oklahoma,14340,10448,Oklahoma,Suburb,public
University of Charleston,1833,1220,West Virginia,Small City,na
University of Chicago,6305,6288,Illinois,Large City,private
University of Cincinnati - Main Campus,26558,22622,Ohio,Large City,na
University of Colorado at Colorado Springs,10804,8171,Colorado,Large City,public
University of Colorado Boulder,29057,26977,Colorado,Midsize City,na
University of Colorado Denver/Anschutz Medical Campus,15589,8671,Colorado,Large City,na
University of Connecticut,19243,18555,Connecticut,Suburb,na
University of Dallas,1456,1421,Texas,Midsize City,private
University of Dayton,8498,8079,Ohio,Midsize City,na
University of Delaware,19752,18195,Delaware,Suburb,na
University of Denver,5768,5494,Colorado,Large City,na
University of Detroit Mercy,2839,2338,Michigan,Large City,private
University of Dubuque,1953,1709,Iowa,Small City,na
University of Evansville,2346,2024,Indiana,Midsize City,na
University of Florida,35251,31384,Florida,Midsize City,na
University of Georgia,28844,27142,Georgia,Midsize City,na
University of Providence,930,469,Montana,Small City,private
University of Hartford,5073,4460,Connecticut,Midsize City,na
University of Hawaii at Hilo,2972,2340,Hawaii,Town,public
University of Hawaii at Manoa,12877,10702,Hawaii,Large City,na
University of Hawaii - West Oahu,3083,1611,Hawaii,Suburb,na
University of Houston,37217,27159,Texas,Large City,public
University of Houston - Downtown,12402,6320,Texas,Large City,public
University of Houston - Victoria,3273,1722,Texas,Small City,public
University of Idaho,9889,7166,Idaho,Town,na
University of Illinois at Chicago,19446,17961,Illinois,Large City,public
University of Illinois at Springfield,2932,1903,Illinois,Midsize City,public
University of Illinois at Urbana - Champaign,33955,32613,Illinois,Small City,na
University of Indianapolis,4486,3828,Indiana,Large City,na
University of Iowa,24506,21222,Iowa,Small City,public
University of Kansas,19344,17151,Kansas,Small City,public
University of Kentucky,22420,20657,Kentucky,Large City,na
University of La Verne,5169,3759,California,Suburb,na
University of Louisiana at Lafayette,15665,12767,Louisiana,Midsize City,na
University of Louisiana at Monroe,7946,5212,Louisiana,Small City,na
University of Louisville,15543,12025,Kentucky,Large City,na
University of Maine,9277,8204,Maine,Suburb,na
University of Maine at Augusta,4013,1317,Maine,Town,public
University of Maine at Farmington,1810,1673,Maine,Town,public
University of Maine at Fort Kent,1762,582,Maine,Rural,na
University of Maine at Machias,698,367,Maine,Rural,public
University of Maine at Presque Isle,1413,716,Maine,Rural,na
University of Mary,2234,1794,North Dakota,Rural,na
University of Mary Hardin - Baylor,3329,3045,Texas,Suburb,na
University of Mary Washington,4399,3905,Virginia,Suburb,na
University of Maryland - Baltimore County,11238,9543,Maryland,Suburb,public
University of Maryland - College Park,29870,27708,Maryland,Suburb,public
University of Maryland Eastern Shore,2860,2573,Maryland,Town,public
University of Maryland - University College,45609,9714,Maryland,Suburb,na
University of Massachusetts Amherst,23386,21577,Massachusetts,Suburb,na
University of Massachusetts - Boston,12658,9574,Massachusetts,Large City,na
University of Massachusetts - Dartmouth,6764,5790,Massachusetts,Suburb,na
University of Massachusetts - Lowell,14015,10495,Massachusetts,Suburb,na
University of Memphis,17392,12400,Tennessee,Large City,na
University of Miami,10834,10216,Florida,Suburb,na
University of Michigan - Ann Arbor,29819,28702,Michigan,Midsize City,na
University of Michigan - Dearborn,7132,5137,Michigan,Small City,na
University of Michigan - Flint,6432,3809,Michigan,Small City,public
University of Minnesota - Crookston,2832,1195,Minnesota,Town,public
University of Minnesota - Duluth,10124,8906,Minnesota,Small City,na
University of Minnesota - Morris,1627,1526,Minnesota,Town,na
University of Minnesota - Twin Cities,35429,29991,Minnesota,Large City,na
University of Mississippi,18734,17511,Mississippi,Town,na
University of Missouri - Columbia,23800,22197,Missouri,Midsize City,na
University of Missouri - Kansas City,11369,6760,Missouri,Large City,public
University of Missouri - St Louis,13791,5492,Missouri,Suburb,public
University of Mobile,1442,1152,Alabama,Rural,na
University of Montevallo,2352,2101,Alabama,Suburb,na
University of Mount Union,2093,2046,Ohio,Town,na
University of Nebraska at Kearney,4846,4063,Nebraska,Town,na
University of Nebraska at Omaha,12620,9820,Nebraska,Large City,na
University of Nebraska - Lincoln,20955,19534,Nebraska,Large City,public
University of Nevada - Las Vegas,25281,18958,Nevada,Midsize City,na
University of Nevada - Reno,18354,15572,Nevada,Midsize City,na
University of New England,4427,2361,Maine,Suburb,na
University of New Hampshire at Manchester,737,575,New Hampshire,Midsize City,na
University of New Hampshire - Main Campus,13010,12677,New Hampshire,Suburb,na
University of New Haven,5214,4831,Connecticut,Suburb,na
University of New Mexico - Main Campus,20359,15093,New Mexico,Large City,public
University of New Orleans,6468,4737,Louisiana,Large City,na
University of North Alabama,6061,5141,Alabama,Small City,public
University of North Carolina at Asheville,3820,3285,North Carolina,Small City,na
University of North Carolina at Chapel Hill,18863,18303,North Carolina,Small City,public
University of North Carolina at Charlotte,23915,20597,North Carolina,Large City,public
University of North Carolina at Greensboro,16441,14136,North Carolina,Large City,na
University of North Carolina at Pembroke,5478,4483,North Carolina,Town,na
University of North Carolina at Wilmington,14499,12346,North Carolina,Midsize City,na
University of North Dakota,10999,8525,North Dakota,Small City,public
University of North Florida,14251,10223,Florida,Large City,na
University of North Texas,31444,25592,Texas,Midsize City,na
University of Northern Colorado,10103,8328,Colorado,Midsize City,na
University of Northern Iowa,9959,9100,Iowa,Small City,na
University of Notre Dame,8577,8557,Indiana,Suburb,private
University of Oklahoma Norman Campus,22028,19065,Oklahoma,Suburb,na
University of Oregon,19336,17801,Oregon,Midsize City,na
University of Pennsylvania,11719,10496,Pennsylvania,Large City,na
University of Phoenix - New Mexico,216,217,New Mexico,Large City,private
University of Phoenix - Hawaii,661,661,Hawaii,Large City,na
University of Phoenix - New Jersey,111,111,New Jersey,Large City,na
University of Phoenix - Kentucky,18,18,Kentucky,Suburb,na
University of Phoenix - Utah,122,122,Utah,Suburb,na
University of Pittsburgh - Bradford,1337,1229,Pennsylvania,Town,na
University of Pittsburgh - Greensburg,1524,1436,Pennsylvania,Suburb,na
University of Pittsburgh - Johnstown,2785,2713,Pennsylvania,Suburb,na
University of Pittsburgh - Pittsburgh Campus,19329,18390,Pennsylvania,Large City,public
University of Portland,3888,3792,Oregon,Large City,private
University of Puerto Rico - Mayaguez,12488,11494,Puerto Rico,Small City,na
University of Puget Sound,2415,2390,Washington,Midsize City,na
University of Redlands,3133,2518,California,Small City,private
University of Rhode Island,15100,12629,Rhode Island,Suburb,na
University of Richmond,3265,3035,Virginia,Midsize City,na
University of Rio Grande,1755,1269,Ohio,Rural,na
University of Rochester,6542,6250,New York,Midsize City,private
University of Saint Francis - Fort Wayne,1906,1523,Indiana,Large City,na
University of Saint Mary,750,641,Kansas,Town,na
University of San Diego,5776,5605,California,Large City,na
University of San Francisco,6847,6586,California,Large City,na
University of Science and Arts of Oklahoma,881,727,Oklahoma,Town,public
University of Scranton,3809,3630,Pennsylvania,Small City,private
University of Sioux Falls,1214,1036,South Dakota,Midsize City,private
University of South Alabama,10986,9090,Alabama,Midsize City,public
University of South Carolina - Aiken,3352,2716,South Carolina,Suburb,public
University of South Carolina - Beaufort,2078,1797,South Carolina,Town,na
University of South Carolina - Columbia,26363,25243,South Carolina,Midsize City,na
University of South Carolina - Upstate,5776,4583,South Carolina,Suburb,public
University of South Dakota,7652,4908,South Dakota,Town,public
University of South Florida - Main Campus,31773,24672,Florida,Large City,na
University of South Florida - St. Petersburg,4251,2845,Florida,Large City,na
University of Southern California,19174,18631,California,Large City,private
University of Southern Indiana,9689,6588,Indiana,Suburb,na
University of Southern Maine,6110,3901,Maine,Small City,na
University of Southern Mississippi,11809,10384,Mississippi,Small City,na
University of St Francis,1600,1291,Illinois,Suburb,na
University of St Thomas Minnesota,6197,5945,Minnesota,Large City,na
University of St. Thomas - Houston,1815,1434,Texas,Large City,na
University of the Cumberlands,3317,1828,Kentucky,Town,na
University of the District of Columbia,3858,1830,District of Columbia,Large City,public
University of the Incarnate Word,5996,4461,Texas,Large City,na
University of the Ozarks,756,747,Arkansas,Town,na
University of the Pacific,3552,3452,California,Large City,private
University of the Southwest,509,417,New Mexico,Rural,na
University of the Virgin Islands,1901,1275,Virgin Islands,Town,na
University of the West,185,148,California,Suburb,na
University of Toledo,16191,13056,Ohio,Large City,public
University of Tulsa,3347,3203,Oklahoma,Large City,private
University of Utah,24637,18066,Utah,Midsize City,na
University of Vermont,11341,10395,Vermont,Small City,na
University of Virginia - Main Campus,16658,15766,Virginia,Suburb,public
University of Washington - Bothell Campus,5365,4641,Washington,Suburb,na
University of Washington - Seattle Campus,31328,28759,Washington,Large City,public
University of Washington - Tacoma Campus,4436,3945,Washington,Midsize City,na
University of West Alabama,2111,1843,Alabama,Rural,na
University of West Georgia,11230,8938,Georgia,Town,public
University of Wisconsin - Eau Claire,10184,9476,Wisconsin,Small City,public
University of Wisconsin - Green Bay,6812,4095,Wisconsin,Midsize City,public
University of Wisconsin - La Crosse,9701,9094,Wisconsin,Small City,na
University of Wisconsin - Madison,31358,28977,Wisconsin,Large City,na
University of Wisconsin - Milwaukee,20356,17076,Wisconsin,Large City,na
University of Wisconsin - Oshkosh,12410,7994,Wisconsin,Small City,na
University of Wisconsin - Parkside,4135,3275,Wisconsin,Suburb,na
University of Wisconsin - Platteville,7614,6723,Wisconsin,Town,na
University of Wisconsin - River Falls,5680,5014,Wisconsin,Town,na
University of Wisconsin - Stevens Point,7896,7224,Wisconsin,Town,na
University of Wisconsin - Stout,8129,6605,Wisconsin,Town,public
University of Wisconsin - Superior,2373,1829,Wisconsin,Suburb,na
University of Wisconsin - Whitewater,11128,9830,Wisconsin,Town,na
University of Wyoming,9796,8281,Wyoming,Town,na
Upper Iowa University,4275,2107,Iowa,Rural,private
Ursinus College,1507,1489,Pennsylvania,Suburb,private
Ursuline College,620,455,Ohio,Suburb,private
Utah State University,24621,17188,Utah,Small City,public
Utah Valley University,36870,18404,Utah,Small City,na
Utica College,3686,2901,New York,Small City,na
Valdosta State University,8774,7166,Georgia,Small City,na
Valley City State University,1373,834,North Dakota,Town,na
University of Valley Forge,700,589,Pennsylvania,Suburb,na
Valparaiso University,3228,3153,Indiana,Suburb,na
Vanderbilt University,6888,6805,Tennessee,Large City,na
Vanguard University of Southern California,1842,1524,California,Midsize City,na
Vassar College,2352,2334,New York,Suburb,private
Villanova University,6948,6525,Pennsylvania,Suburb,na
Virginia Commonwealth University,23666,20036,Virginia,Midsize City,na
Virginia Military Institute,1724,1722,Virginia,Town,public
Virginia Tech,27189,26603,Virginia,Small City,public
Virginia State University,4299,3976,Virginia,Suburb,public
Virginia Union University,1298,1201,Virginia,Midsize City,na
Virginia Wesleyan University,1438,1354,Virginia,Large City,na
Viterbo University,1770,1394,Wisconsin,Small City,na
Voorhees College,475,464,South Carolina,Town,private
Wabash College,865,864,Indiana,Town,na
Wagner College,1797,1736,New York,Large City,na
Wake Forest University,5099,5046,North Carolina,Midsize City,na
Walden University,7443,453,Minnesota,Large City,na
Waldorf University,2124,1482,Iowa,Town,private
Walla Walla University,1650,1556,Washington,Suburb,na
Walsh University,2012,1744,Ohio,Suburb,private
Warner Pacific College,404,396,Oregon,Large City,na
Warner University,1003,869,Florida,Rural,na
Warren Wilson College,589,579,North Carolina,Suburb,private
Wartburg College,1525,1474,Iowa,Town,na
Washburn University,5877,3944,Kansas,Midsize City,na
Washington Adventist University,875,655,Maryland,Suburb,na
Washington & Jefferson College,1411,1398,Pennsylvania,Suburb,na
Washington and Lee University,1824,1823,Virginia,Town,private
Washington College,1489,1456,Maryland,Town,na
Washington State University,25279,22166,Washington,Town,na
Washington University in St Louis,7673,7074,Missouri,Suburb,na
Wayland Baptist University,3563,990,Texas,Town,na
Wayne State College,2756,2404,Nebraska,Town,public
Wayne State University,17300,12389,Michigan,Large City,public
Waynesburg University,1374,1330,Pennsylvania,Town,private
Webber International University,626,584,Florida,Town,na
Weber State University,27106,11311,Utah,Small City,na
Webster University,3080,2297,Missouri,Suburb,private
Wellesley College,2513,2374,Massachusetts,Suburb,private
Wells College,486,481,New York,Rural,na
Wentworth Institute of Technology,4263,3904,Massachusetts,Large City,private
Wesley College,1447,1303,Delaware,Small City,private
Wesleyan College,565,431,Georgia,Midsize City,na
Wesleyan University,2975,2896,Connecticut,Small City,private
West Chester University of Pennsylvania,14450,13020,Pennsylvania,Suburb,na
West Liberty University,2174,1869,West Virginia,Rural,na
West Texas A&M University,7393,5615,Texas,Town,public
West Virginia State University,3754,1786,West Virginia,Suburb,na
West Virginia University,22507,20712,West Virginia,Small City,public
West Virginia University Institute of Technology,1621,1111,West Virginia,Small City,public
West Virginia Wesleyan College,1322,1289,West Virginia,Town,private
Western Carolina University,9408,8040,North Carolina,Town,na
Western Connecticut State University,5082,4089,Connecticut,Small City,na
Western Governors University,72383,72385,Utah,Suburb,na
Western Illinois University,7596,6668,Illinois,Town,na
Western International University,593,597,Arizona,Midsize City,na
Western Kentucky University,17655,12919,Kentucky,Small City,na
Western Michigan University,17938,15063,Michigan,Small City,na
Western New England University,2737,2613,Massachusetts,Midsize City,private
Western New Mexico University,2170,1266,New Mexico,Town,public
Western Oregon University,4758,4065,Oregon,Town,public
Western Colorado University,2427,1832,Colorado,Town,na
Western Washington University,14961,13728,Washington,Small City,na
Westfield State University,5585,4800,Massachusetts,Suburb,na
Westminster College Missouri,765,760,Missouri,Town,na
Westminster College Pennsylvania,1193,1170,Pennsylvania,Town,private
Westminster College Utah,2033,1906,Utah,Midsize City,na
Westmont College,1295,1294,California,Suburb,private
Wheaton College Illinois,2386,2310,Illinois,Suburb,private
Wheaton College Massachusetts,1686,1675,Massachusetts,Suburb,private
Wheeling Jesuit University,721,670,West Virginia,Small City,na
Boston University Wheelock College of Education and Human Development,613,593,Massachusetts,Large City,na
Whitman College,1512,1455,Washington,Small City,na
Whittier College,1684,1640,California,Suburb,na
Whitworth University,2252,2211,Washington,Suburb,private
Wichita State University,12403,8749,Kansas,Large City,na
Widener University,3438,2919,Pennsylvania,Suburb,private
Wilberforce University,613,489,Ohio,Rural,private
Wiley College,1325,1188,Texas,Town,na
Wilkes University,2489,2233,Pennsylvania,Small City,na
Willamette University,1950,1901,Oregon,Midsize City,private
William Carey University,3099,1676,Mississippi,Small City,private
William Jewell College,922,909,Missouri,Suburb,na
William Paterson University of New Jersey,8839,7285,New Jersey,Suburb,na
William Penn University,1284,1068,Iowa,Town,na
William Woods University,959,794,Missouri,Town,na
Williams Baptist College,492,447,Arkansas,Rural,na
Williams College,2073,2047,Massachusetts,Town,private
Wilmington College,1168,1098,Ohio,Town,na
Wilmington University,8441,3035,Delaware,Suburb,private
Wilson College,827,565,Pennsylvania,Small City,na
Wingate University,2588,2537,North Carolina,Suburb,na
Winona State University,7463,6522,Minnesota,Town,public
Winston - Salem State University,4688,4072,North Carolina,Midsize City,na
Winthrop University,5014,4488,South Carolina,Small City,public
Wisconsin Lutheran College,992,921,Wisconsin,Large City,na
Wittenberg University,1860,1775,Ohio,Small City,na
Wofford College,1679,1663,South Carolina,Small City,private
Woodbury University,1023,923,California,Large City,private
Worcester Polytechnic Institute,4435,4301,Massachusetts,Midsize City,na
Worcester State University,5496,4153,Massachusetts,Midsize City,na
Wright State University - Main Campus,12120,9423,Ohio,Suburb,public
Xavier University,4629,4370,Ohio,Large City,private
Xavier University of Louisiana,2289,2155,Louisiana,Large City,na
Yale University,5751,5743,Connecticut,Midsize City,na
Yeshiva University,2755,2646,New York,Large City,na
York College,431,398,Nebraska,Town,na
York College of Pennsylvania,4169,3814,Pennsylvania,Suburb,na
Youngstown State University,11272,8834,Ohio,Small City,na
