 ,University of Phoenix - Utah,University of Pittsburgh - Bradford,University of Pittsburgh - Greensburg,University of Pittsburgh - Johnstown,University of Pittsburgh - Pittsburgh Campus,University of Portland,University of Puerto Rico - Mayaguez,University of Puget Sound,University of Redlands,University of Rhode Island,University of Richmond,University of Rio Grande,University of Rochester,University of Saint Francis - Fort Wayne,University of Saint Mary,University of San Diego,University of San Francisco,University of Science and Arts of Oklahoma,University of Scranton,University of Sioux Falls,University of South Alabama,University of South Carolina - Aiken,University of South Carolina - Beaufort,University of South Carolina - Columbia,University of South Carolina - Upstate,University of South Dakota,University of South Florida - Main Campus,University of South Florida - St. Petersburg,University of Southern California,University of Southern Indiana,University of Southern Maine,University of Southern Mississippi,University of St Francis,University of St Thomas Minnesota,University of St. Thomas - Houston,University of the Cumberlands,University of the District of Columbia,University of the Incarnate Word,University of the Ozarks,University of the Pacific,University of the Southwest,University of the Virgin Islands,University of the West,University of Toledo,University of Tulsa,University of Utah,University of Vermont,University of Virginia - Main Campus,University of Washington - Bothell Campus,University of Washington - Seattle Campus,University of Washington - Tacoma Campus,University of West Alabama,University of West Georgia,University of Wisconsin - Eau Claire,University of Wisconsin - Green Bay,University of Wisconsin - La Crosse,University of Wisconsin - Madison,University of Wisconsin - Milwaukee,University of Wisconsin - Oshkosh,University of Wisconsin - Parkside,University of Wisconsin - Platteville,University of Wisconsin - River Falls,University of Wisconsin - Stevens Point,University of Wisconsin - Stout,University of Wisconsin - Superior,University of Wisconsin - Whitewater,University of Wyoming,Upper Iowa University,Ursinus College,Ursuline College,Utah State University,Utah Valley University,Utica College,Valdosta State University,Valley City State University,University of Valley Forge,Valparaiso University,Vanderbilt University,Vanguard University of Southern California,Vassar College,Villanova University,Virginia Commonwealth University,Virginia Military Institute,Virginia Tech,Virginia State University,Virginia Union University,Virginia Wesleyan University,Viterbo University,Voorhees College,Wabash College,Wagner College,Wake Forest University,Walden University,Waldorf University,Walla Walla University,Walsh University,Warner Pacific College,Warner University,Warren Wilson College,Wartburg College,Washburn University,Washington Adventist University,Washington & Jefferson College,Washington and Lee University,Washington College,Washington State University,Washington University in St Louis,Wayland Baptist University,Wayne State College,Wayne State University,Waynesburg University,Webber International University,Weber State University,Webster University,Wellesley College,Wells College,Wentworth Institute of Technology,Wesley College,Wesleyan College,Wesleyan University,West Chester University of Pennsylvania,West Liberty University,West Texas A&M University,West Virginia State University,West Virginia University,West Virginia University Institute of Technology,West Virginia Wesleyan College,Western Carolina University,Western Connecticut State University,Western Governors University,Western Illinois University,Western International University,Western Kentucky University,Western Michigan University,Western New England University,Western New Mexico University,Western Oregon University,Western Colorado University,Western Washington University,Westfield State University,Westminster College Missouri,Westminster College Pennsylvania,Westminster College Utah,Westmont College,Wheaton College Illinois,Wheaton College Massachusetts,Wheeling Jesuit University,Boston University Wheelock College of Education and Human Development,Whitman College,Whittier College,Whitworth University,Wichita State University,Widener University,Wilberforce University,Wiley College,Wilkes University,Willamette University,William Carey University,William Jewell College,William Paterson University of New Jersey,William Penn University,William Woods University,Williams Baptist College,Williams College,Wilmington College,Wilmington University,Wilson College,Wingate University,Winona State University,Winston - Salem State University,Winthrop University,Wisconsin Lutheran College,Wittenberg University,Wofford College,Woodbury University,Worcester Polytechnic Institute,Worcester State University,Wright State University - Main Campus,Xavier University,Xavier University of Louisiana,Yale University,Yeshiva University,York College,York College of Pennsylvania,Youngstown State University,
Alabama,0,0,0,0,11.0,0,0,0,0,0,0,0,0,0,0,5.0,7.0,0,0,0,8859.0,5.0,0,24.0,7.0,0,23.0,0,20.0,0,0,694.0,0,4.0,0,23.0,11.0,0,0,0,0,0,0,0,0,9.0,0,72.0,0,0,0,1945.0,54.0,0,8.0,5.0,11.0,5.0,0,0,0,0,0,0,0,0,7.0,0,0,0,24.0,39.0,0,0,0,0,0,293.0,0,4.0,0,0,8.0,11.0,0,3.0,0,0,0,7.0,0,39.0,157.0,36.0,0,0,0,0,11.0,0,7.0,8.0,0,24.0,4.0,0,36.0,0,0,0,3.0,0,0,0,9.0,3.0,0,0,21.0,0,0,0,0,0,5.0,6.0,4.0,26.0,0,601.0,0,0,16.0,0,0,17.0,0,0,0,0,0,3.0,0,0,12.0,0,0,0,4.0,0,0,0,0,0,0,0,0,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,0,11.0,0,0,4.0,36.0,20.0,0,0,0,0,
Alaska,0,0,0,0,0,14.0,0,39.0,15.0,5.0,0,0,42.0,0,6.0,5.0,13.0,0,0,0,0,0,0,0,0,0,8.0,0,7.0,0,7.0,15.0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,34.0,19.0,11.0,0,103.0,0,0,0,10.0,15.0,5.0,17.0,0,0,0,5.0,0,10.0,10.0,0,0,42.0,22.0,0,0,80.0,62.0,0,0,52.0,0,5.0,0,0,8.0,4.0,0,0,16.0,0,0,0,0,0,0,0,0,7.0,0,29.0,0,4.0,0,0,0,0,8.0,0,0,0,272.0,15.0,15.0,0,0,0,0,20.0,0,14.0,0,0,0,0,0,0,0,6.0,0,9.0,0,0,0,0,0,0,0,0,11.0,0,0,45.0,15.0,170.0,0,0,0,8.0,3.0,4.0,0,0,0,26.0,0,17.0,0,0,0,0,0,18.0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,10.0,0,3.0,0,0,
Arizona,0,4.0,0,4.0,37.0,41.0,0,51.0,63.0,5.0,4.0,0,48.0,0,23.0,265.0,60.0,4.0,0,0,0,0,0,6.0,0,13.0,8.0,0,199.0,0,0,7.0,0,4.0,10.0,0,0,28.0,0,22.0,30.0,0,0,0,23.0,111.0,19.0,17.0,0,84.0,0,0,6.0,0,0,0,39.0,5.0,0,0,0,5.0,10.0,0,0,0,63.0,0,0,0,88.0,210.0,0,0,13.0,0,0,18.0,62.0,4.0,22.0,0,0,21.0,0,0,0,5.0,0,4.0,8.0,9.0,55.0,96.0,6.0,0,4.0,0,8.0,7.0,0,0,0,4.0,0,16.0,66.0,29.0,0,13.0,0,0,112.0,8.0,42.0,3.0,0,0,0,22.0,0,0,18.0,0,9.0,0,0,0,0,901.0,0,165.0,11.0,0,0,133.0,9.0,10.0,38.0,0,0,0,35.0,27.0,33.0,0,0,0,26.0,23.0,17.0,20.0,5.0,0,0,0,18.0,0,0,12.0,24.0,19.0,0,0,0,0,0,4.0,0,0,0,8.0,15.0,0,0,6.0,0,4.0,4.0,6.0,40.0,0,0,3.0,0,
Arkansas,0,0,0,0,16.0,0,0,0,0,0,0,0,6.0,0,23.0,10.0,0,0,0,0,6.0,0,0,18.0,0,0,15.0,0,13.0,0,0,0,0,4.0,0,0,0,7.0,501.0,0,0,0,0,0,174.0,9.0,0,17.0,0,6.0,0,0,6.0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,16.0,0,0,0,0,5.0,82.0,0,11.0,4.0,14.0,0,0,0,0,0,0,0,0,0,4.0,157.0,12.0,0,0,0,0,3.0,0,0,0,0,16.0,0,0,46.0,0,0,0,0,0,10.0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201.0,0,0,0,0,0,0,0,0,5.0,0,19.0,0,0,0,4.0,0,0,0,4.0,0,0,0,0,0,16.0,0,0,0,17.0,0,34.0,5.0,412.0,8.0,0,0,0,0,5.0,0,0,0,0,4.0,0,0,0,4.0,0,6.0,20.0,0,3.0,0,0,
California,0,0,0,0,181.0,777.0,3122.0,743.0,2170.0,22.0,65.0,0,194.0,0,23.0,3380.0,5092.0,8.0,4.0,19.0,0,0,0,66.0,0,13.0,23.0,10.0,11494.0,0,0,37.0,8.0,25.0,10.0,0,90.0,69.0,4.0,3215.0,60.0,127.0,185.0,17.0,98.0,839.0,172.0,150.0,57.0,2594.0,40.0,0,18.0,5.0,0,16.0,751.0,5.0,0,5.0,10.0,5.0,0,20.0,0,5.0,146.0,151.0,21.0,0,519.0,747.0,0,3.0,13.0,0,48.0,275.0,1509.0,345.0,303.0,55.0,52.0,107.0,65.0,6.0,0,5.0,4.0,26.0,42.0,173.0,273.0,120.0,361.0,5.0,18.0,6.0,14.0,0,7.0,30.0,18.0,56.0,11.0,527.0,759.0,0,4.0,26.0,7.0,4.0,376.0,60.0,370.0,9.0,18.0,9.0,0,410.0,0,4.0,30.0,25.0,104.0,0,0,13.0,0,5106.0,13.0,14.0,16.0,27.0,7.0,94.0,99.0,51.0,170.0,0,5.0,0,125.0,909.0,198.0,103.0,6.0,8.0,307.0,1260.0,272.0,20.0,5.0,49.0,106.0,0,534.0,23.0,0,0,39.0,52.0,0,290.0,0,0,9.0,22.0,14.0,7.0,0,4.0,4.0,0,939.0,145.0,7.0,24.0,54.0,139.0,795.0,160.0,17.0,13.0,4.0,
Colorado,0,0,0,0,37.0,64.0,0,175.0,78.0,5.0,17.0,0,67.0,5.0,34.0,187.0,73.0,0,0,19.0,13.0,0,0,96.0,0,66.0,53.0,0,266.0,0,21.0,15.0,0,21.0,0,31.0,5.0,0,0,37.0,40.0,253.0,0,0,40.0,325.0,61.0,67.0,0,135.0,0,0,0,10.0,15.0,0,67.0,0,7.0,0,5.0,5.0,5.0,0,7.0,27.0,2046.0,22.0,3.0,0,272.0,257.0,7.0,7.0,19.0,0,19.0,96.0,17.0,19.0,48.0,0,0,43.0,3.0,3.0,10.0,5.0,0,0,8.0,61.0,14.0,36.0,23.0,5.0,4.0,0,8.0,13.0,13.0,0,0,4.0,4.0,96.0,112.0,0,8.0,7.0,3.0,4.0,142.0,8.0,19.0,9.0,0,0,7.0,26.0,0,0,120.0,0,5.0,0,0,0,0,1502.0,0,0,5.0,11.0,4.0,17.0,13.0,1741.0,246.0,0,0,0,39.0,72.0,82.0,16.0,0,0,34.0,35.0,96.0,20.0,5.0,0,4.0,0,64.0,0,21.0,0,15.0,23.0,0,34.0,0,0,0,4.0,5.0,0,0,0,8.0,8.0,12.0,11.0,7.0,8.0,40.0,12.0,59.0,10.0,61.0,0,0,
Connecticut,0,4.0,4.0,0,106.0,0,0,19.0,29.0,1141.0,143.0,0,139.0,5.0,0,62.0,27.0,0,96.0,0,6.0,0,20.0,221.0,0,0,53.0,0,120.0,0,90.0,0,0,4.0,0,0,5.0,0,0,4.0,0,0,0,0,12.0,86.0,997.0,172.0,0,39.0,0,0,0,0,0,0,95.0,5.0,0,0,0,0,0,0,0,0,14.0,0,41.0,0,32.0,23.0,140.0,0,0,3.0,0,110.0,0,138.0,544.0,48.0,4.0,214.0,24.0,3.0,15.0,0,0,0,64.0,295.0,20.0,0,0,0,0,0,19.0,0,7.0,0,11.0,65.0,43.0,16.0,102.0,0,4.0,0,0,0,20.0,0,111.0,12.0,373.0,14.0,0,214.0,21.0,0,12.0,12.0,263.0,0,0,13.0,4639.0,300.0,0,0,0,5.0,807.0,0,0,15.0,0,245.0,0,3.0,8.0,7.0,21.0,152.0,0,62.0,15.0,12.0,0,0,47.0,0,0,15.0,5.0,0,0,6.0,0,9.0,0,126.0,0,0,9.0,0,0,7.0,21.0,4.0,31.0,0,0,406.0,95.0,12.0,40.0,0,410.0,27.0,0,47.0,0,
Delaware,0,4.0,4.0,0,64.0,0,0,0,0,27.0,39.0,0,6.0,0,0,0,7.0,0,0,0,0,0,0,66.0,0,0,15.0,0,46.0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,9.0,0,0,5.0,55.0,0,0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,0,0,0,7.0,3.0,0,9.0,0,14.0,0,8.0,57.0,27.0,0,150.0,24.0,6.0,34.0,0,0,0,0,26.0,14.0,0,0,0,0,0,3.0,0,0,0,0,0,86.0,0,10.0,0,0,0,3.0,0,0,0,5.0,0,6.0,426.0,0,0,196.0,0,0,0,199.0,6.0,4.0,0,0,300.0,0,0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,128.0,0,0,10.0,0,0,0,6.0,0,0,0,17.0,0,7167.0,26.0,0,0,0,5.0,0,0,0,0,6.0,0,4.0,0,0,15.0,0,0,158.0,0,
District of Columbia,0,8.0,0,0,64.0,0,0,0,5.0,11.0,9.0,0,12.0,0,0,0,0,0,0,0,0,0,0,12.0,0,0,0,0,120.0,0,0,0,0,0,0,0,2643.0,0,0,0,0,127.0,0,0,6.0,9.0,79.0,100.0,0,6.0,0,0,0,0,0,0,67.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,4.0,18.0,198.0,0,48.0,185.0,45.0,10.0,0,0,0,4.0,17.0,20.0,0,0,0,0,0,5.0,0,0,30.0,4.0,12.0,4.0,0,41.0,0,0,0,0,0,0,0,14.0,0,0,3.0,0,31.0,0,4.0,0,37.0,18.0,0,4.0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,0,15.0,0,0,0,75.0,5.0,0,0,0,0,6.0,0,0,4.0,27.0,69.0,0,0,10.0,8.0,
Florida,0,4.0,0,4.0,101.0,5.0,0,0,5.0,27.0,56.0,0,73.0,0,11.0,36.0,27.0,0,4.0,0,561.0,43.0,10.0,275.0,46.0,33.0,29929.0,4061.0,286.0,5.0,0,164.0,31.0,25.0,0,54.0,42.0,0,4.0,4.0,20.0,253.0,0,35.0,12.0,111.0,61.0,310.0,0,32.0,0,7.0,42.0,0,0,5.0,140.0,0,7.0,10.0,10.0,5.0,5.0,0,0,11.0,0,129.0,14.0,0,48.0,125.0,21.0,100.0,39.0,6.0,15.0,343.0,0,38.0,145.0,61.0,32.0,182.0,10.0,17.0,10.0,0,6.0,7.0,49.0,407.0,355.0,432.0,0,14.0,0,914.0,16.0,10.0,7.0,38.0,11.0,81.0,14.0,24.0,275.0,0,0,0,0,598.0,20.0,38.0,79.0,3.0,6.0,9.0,49.0,39.0,14.0,8.0,6.0,74.0,104.0,25.0,25.0,106.0,5.0,2703.0,4.0,22.0,132.0,80.0,15.0,17.0,0,10.0,11.0,0,16.0,0,16.0,3.0,58.0,4.0,3.0,3.0,0,4.0,7.0,10.0,9.0,0,8.0,10.0,5.0,0,0,6.0,34.0,0,0,67.0,13.0,15.0,0,65.0,0,0,21.0,57.0,11.0,44.0,0,22.0,0,12.0,58.0,24.0,257.0,112.0,0,0,23.0,
Georgia,0,0,0,0,96.0,0,0,8.0,0,0,52.0,0,18.0,0,11.0,5.0,33.0,0,0,0,178.0,183.0,114.0,1136.0,52.0,7.0,122.0,20.0,239.0,5.0,0,119.0,16.0,8.0,0,279.0,21.0,0,0,7.0,0,127.0,0,13.0,6.0,60.0,42.0,244.0,0,26.0,0,7.0,10990.0,0,0,5.0,22.0,16.0,0,0,0,0,0,0,0,5.0,28.0,0,7.0,0,32.0,70.0,7.0,8581.0,0,6.0,19.0,458.0,0,23.0,22.0,89.0,32.0,198.0,62.0,14.0,5.0,0,102.0,11.0,4.0,234.0,518.0,12.0,0,5.0,0,0,19.0,3.0,0,23.0,4.0,85.0,4.0,16.0,92.0,0,4.0,7.0,0,0,10.0,15.0,65.0,3.0,0,0,425.0,39.0,0,4.0,0,25.0,36.0,13.0,7.0,178.0,0,3604.0,0,14.0,137.0,11.0,0,0,0,5.0,0,0,0,0,12.0,10.0,29.0,0,3.0,0,0,4.0,3.0,0,0,5.0,4.0,0,0,23.0,0,0,44.0,5.0,0,29.0,0,15.0,0,26.0,5.0,7.0,37.0,4.0,8.0,142.0,0,11.0,0,4.0,27.0,182.0,89.0,17.0,0,0,4.0,
